PLAYER_NAME,Season,REB_CONTEST_PCT,AVG_REB_DIST
Dwight Howard,2018-19,0.41,3.7
Dwight Powell,2018-19,0.343,6.5
Dwyane Wade,2018-19,0.239,7.7
Dzanan Musa,2018-19,0.6,6.3
E'Twaun Moore,2018-19,0.307,10.9
Ed Davis,2018-19,0.422,4.6
Edmond Sumner,2018-19,0.375,8.5
Ekpe Udoh,2018-19,0.411,5.1
Elfrid Payton,2018-19,0.205,8.5
Elie Okobo,2018-19,0.143,10.3
Emanuel Terry,2018-19,0.714,4.2
Emmanuel Mudiay,2018-19,0.175,9.7
Enes Freedom,2018-19,0.513,4.1
Eric Bledsoe,2018-19,0.229,9.3
Eric Gordon,2018-19,0.169,10.2
Eric Moreland,2018-19,0.35,4.3
Ersan Ilyasova,2018-19,0.437,5.4
Evan Fournier,2018-19,0.226,9.3
Evan Turner,2018-19,0.189,5.9
Frank Jackson,2018-19,0.231,8.0
Frank Kaminsky,2018-19,0.429,5.2
Frank Mason III,2018-19,0.163,9.3
Frank Ntilikina,2018-19,0.119,11.6
Fred VanVleet,2018-19,0.162,10.6
Furkan Korkmaz,2018-19,0.15,7.6
Garrett Temple,2018-19,0.245,9.2
Gary Clark,2018-19,0.319,7.4
Gary Harris,2018-19,0.225,11.2
Gary Payton II,2018-19,0.5,2.5
Gary Trent Jr.,2018-19,0.091,8.0
George Hill,2018-19,0.25,8.5
George King,2018-19,0.0,11.6
Georges Niang,2018-19,0.195,8.0
Gerald Green,2018-19,0.148,8.6
Giannis Antetokounmpo,2018-19,0.34,5.0
Glenn Robinson III,2018-19,0.268,7.3
Goran Dragic,2018-19,0.144,9.7
Gordon Hayward,2018-19,0.211,7.7
Gorgui Dieng,2018-19,0.347,5.5
Grayson Allen,2018-19,0.174,11.6
Greg Monroe,2018-19,0.477,4.6
Guerschon Yabusele,2018-19,0.434,7.2
Hamidou Diallo,2018-19,0.381,7.2
Harrison Barnes,2018-19,0.26,7.0
Harry Giles III,2018-19,0.45,4.8
Hassan Whiteside,2018-19,0.483,4.1
Haywood Highsmith,2018-19,0.2,7.0
Henry Ellenson,2018-19,0.258,4.4
Ian Clark,2018-19,0.157,10.5
Ian Mahinmi,2018-19,0.438,5.7
Ike Anigbogu,2018-19,0.667,4.7
Iman Shumpert,2018-19,0.202,8.1
Isaac Bonga,2018-19,0.36,7.6
Isaac Humphries,2018-19,0.182,4.8
Isaiah Briscoe,2018-19,0.149,8.6
