PLAYER_NAME,Season,DEF Handoff PPP Rank,DEF Handoff FREQ Rank,GP Rank,DEF Isolation PPP Rank,DEF Isolation FREQ Rank,DEF OffScreen PPP Rank,DEF OffScreen FREQ Rank,DEF Postup PPP Rank,DEF Postup FREQ Rank,DEF PRBallHandler PPP Rank,DEF PRBallHandler FREQ Rank,DEF PRRollman PPP Rank,DEF PRRollman FREQ Rank,DEF Spotup PPP Rank,DEF Spotup FREQ Rank,FREQ 3 Pointers Rank,PLUSMINUS 3 Pointers Rank,FREQ Less Than 6Ft Rank,PLUSMINUS Less Than 6Ft Rank,FREQ Less Than 10Ft Rank,PLUSMINUS Less Than 10Ft Rank,MIN Rank,DEFLECTIONS Rank,PCT_LOOSE_BALLS_RECOVERED_DEF Rank,REB_CONTEST_PCT Rank,AVG_REB_DIST Rank,DIST_MILES_DEF Rank,AVG_SPEED_DEF Rank,DEFLECTIONS Per36 Rank
Robert Williams III,2021-22,0.15877437325905291,0.1894150417827298,0.5041782729805014,0.4777158774373259,0.9387186629526463,0.28690807799442897,0.2604456824512535,0.17548746518105848,0.2757660167130919,0.116991643454039,0.15459610027855153,0.2757660167130919,0.7883008356545961,0.03899721448467967,0.4052924791086351,0.5766016713091922,0.1573816155988858,0.03899721448467967,0.022284122562674095,0.07103064066852367,0.01532033426183844,0.7116991643454039,0.5863509749303621,0.45264623955431754,0.9749303621169917,0.21866295264623956,0.6601671309192201,0.3565459610027855,0.4178272980501393
Josh Jackson,2021-22,0.1615598885793872,0.5236768802228412,0.19498607242339833,0.7465181058495822,0.45403899721448465,0.9763231197771588,0.9261838440111421,0.0403899721448468,0.0403899721448468,0.7994428969359332,0.44846796657381616,0.116991643454039,0.116991643454039,0.9066852367688022,0.8217270194986073,0.6030640668523677,0.9108635097493036,0.7966573816155988,0.4958217270194986,0.6100278551532033,0.41086350974930363,0.07799442896935933,0.14763231197771587,0.8008356545961003,0.5487465181058496,0.3635097493036212,0.0584958217270195,0.5013927576601671,0.42896935933147634
Ish Smith,2021-22,0.16434540389972144,0.9401114206128134,0.17270194986072424,0.17548746518105848,0.33565459610027853,0.09610027855153204,0.09610027855153204,1.0,0.7256267409470752,0.45125348189415043,0.8398328690807799,0.116991643454039,0.116991643454039,0.5682451253481894,0.6155988857938719,0.6267409470752089,0.9331476323119777,0.21309192200557103,0.9011142061281338,0.4554317548746518,0.8175487465181058,0.13509749303621169,0.3161559888579387,0.9122562674094707,0.19498607242339833,0.7715877437325905,0.10167130919220056,0.5403899721448467,0.6559888579387186
Ish Smith,2021-22,0.46518105849582175,0.3816155988857939,0.0988857938718663,0.5181058495821727,0.23676880222841226,0.09610027855153204,0.09610027855153204,0.3955431754874652,0.9944289693593314,0.6894150417827298,0.9651810584958217,0.116991643454039,0.116991643454039,0.883008356545961,0.2994428969359331,0.6267409470752089,0.9331476323119777,0.21309192200557103,0.9011142061281338,0.4554317548746518,0.8175487465181058,0.13509749303621169,0.3161559888579387,0.9122562674094707,0.19498607242339833,0.7715877437325905,0.10167130919220056,0.5403899721448467,0.6559888579387186
Naz Reid,2021-22,0.29526462395543174,0.19498607242339833,0.9261838440111421,0.8175487465181058,0.8175487465181058,0.09610027855153204,0.09610027855153204,0.7632311977715878,0.7980501392757661,0.054317548746518104,0.052924791086350974,0.8022284122562674,0.9401114206128134,0.6406685236768802,0.31754874651810583,0.13231197771587744,0.8314763231197771,0.9749303621169917,0.03899721448467967,0.9693593314763231,0.07520891364902507,0.02924791086350975,0.22284122562674094,0.383008356545961,0.9428969359331476,0.11838440111420613,0.06963788300835655,0.637883008356546,0.6323119777158774
Zeke Nnaji,2021-22,0.25069637883008355,0.2841225626740947,0.2214484679665738,0.22841225626740946,0.9665738161559888,0.09610027855153204,0.09610027855153204,0.27158774373259054,0.3593314763231198,0.2618384401114206,0.29108635097493035,0.9540389972144847,0.7938718662952646,0.520891364902507,0.4860724233983287,0.6448467966573816,0.9052924791086351,0.8314763231197771,0.8593314763231198,0.7729805013927576,0.8704735376044568,0.11002785515320335,0.08913649025069638,0.10445682451253482,0.924791086350975,0.16573816155988857,0.13231197771587744,0.8802228412256268,0.28969359331476324
Steven Adams,2021-22,0.22423398328690808,0.16295264623955433,0.8997214484679665,0.44428969359331477,0.052924791086350974,0.841225626740947,0.21587743732590528,0.8105849582172702,0.181058495821727,0.054317548746518104,0.052924791086350974,0.5654596100278552,0.9401114206128134,0.1796657381615599,0.08356545961002786,0.036211699164345405,0.44986072423398327,0.8259052924791086,0.2883008356545961,0.8732590529247911,0.3871866295264624,0.5612813370473537,0.6337047353760445,0.04456824512534819,0.9916434540389972,0.033426183844011144,0.5097493036211699,0.45125348189415043,0.6406685236768802
Daniel Gafford,2021-22,0.22423398328690808,0.17548746518105848,0.7980501392757661,0.8370473537604457,0.10306406685236769,0.09610027855153204,0.09610027855153204,0.8161559888579387,0.9373259052924791,0.054317548746518104,0.052924791086350974,0.8440111420612814,0.745125348189415,0.09749303621169916,0.07242339832869081,0.009749303621169917,0.9526462395543176,0.9777158774373259,0.07520891364902507,0.9665738161559888,0.16991643454038996,0.26880222841225626,0.3969359331476323,0.17270194986072424,0.9637883008356546,0.018105849582172703,0.27019498607242337,0.8147632311977716,0.596100278551532
Nic Claxton,2021-22,0.22423398328690808,0.21448467966573817,0.2841225626740947,0.5431754874651811,0.9916434540389972,0.09610027855153204,0.09610027855153204,0.5473537604456824,0.5097493036211699,0.8607242339832869,0.1977715877437326,0.7938718662952646,0.6044568245125348,0.9108635097493036,0.1392757660167131,0.6504178272980501,0.7409470752089137,0.2214484679665738,0.03064066852367688,0.298050139275766,0.06267409470752089,0.3022284122562674,0.35236768802228413,0.06963788300835655,0.8969359331476323,0.09192200557103064,0.34818941504178275,0.766016713091922,0.5069637883008357
Donte DiVincenzo,2021-22,0.6532033426183844,0.5097493036211699,0.06406685236768803,0.01532033426183844,0.01532033426183844,0.2562674094707521,0.8314763231197771,0.0403899721448468,0.0403899721448468,0.7270194986072424,0.7674094707520891,0.116991643454039,0.116991643454039,0.7479108635097493,0.7980501392757661,0.9094707520891365,0.9192200557103064,0.616991643454039,0.6155988857938719,0.2841225626740947,0.850974930362117,0.45403899721448465,0.8885793871866295,0.6295264623955432,0.36768802228412256,0.520891364902507,0.46935933147632314,0.5682451253481894,0.9331476323119777
