PLAYER_NAME,DEF Handoff PPP,DEF Handoff FREQ,DEF Isolation PPP,DEF Isolation FREQ,DEF OffScreen PPP,DEF OffScreen FREQ,DEF Postup PPP,DEF Postup FREQ,DEF PRBallHandler PPP,DEF PRBallHandler FREQ,DEF PRRollman PPP,DEF PRRollman FREQ,DEF Spotup PPP,DEF Spotup FREQ,FREQ 3 Pointers,PLUSMINUS 3 Pointers,FREQ Less Than 6Ft,PLUSMINUS Less Than 6Ft,FREQ Less Than 10Ft,PLUSMINUS Less Than 10Ft,PCT_LOOSE_BALLS_RECOVERED_DEF,REB_CONTEST_PCT,AVG_REB_DIST,DIST_MILES_DEF,AVG_SPEED_DEF,DEFLECTIONS Per36,Cluster,Archetype
Aaron Holiday,1.222,0.103,0.0,0.0,0.238,0.08,1.286,0.053,0.86,0.408,1.125,0.061,1.017,0.225,0.431,-0.02,0.328,-0.024,0.431,-0.026,0.571,0.115,10.7,0.57,4.09,2.9333333333333336,5,Perimeter Ball-Hawk
Tyrese Haliburton,0.647,0.063,1.074,0.1,0.0,0.0,0.667,0.077,0.975,0.299,0.0,0.0,1.179,0.391,0.372,-0.001,0.396,0.074,0.477,0.072,0.661,0.114,9.5,1.23,3.89,2.8285714285714283,5,Perimeter Ball-Hawk
Tyrese Haliburton,0.771,0.096,1.346,0.052,1.075,0.08,1.0,0.024,0.915,0.284,1.714,0.028,0.87,0.354,0.372,-0.001,0.396,0.074,0.477,0.072,0.661,0.114,9.5,1.23,3.89,2.8285714285714283,5,Perimeter Ball-Hawk
Keifer Sykes,0.579,0.113,0.0,0.0,0.0,0.0,0.5,0.107,1.016,0.363,0.0,0.0,0.976,0.25,0.37,-0.009,0.277,0.05,0.41,0.015,0.625,0.133,11.6,0.65,4.03,2.0338983050847457,2,Off-Ball Chaser
Gabe Vincent,0.55,0.034,0.825,0.067,0.571,0.035,0.735,0.057,0.816,0.32,0.333,0.025,0.959,0.415,0.464,-0.045,0.229,0.046,0.339,0.037,0.615,0.214,10.6,0.8,3.85,2.8,5,Perimeter Ball-Hawk
James Harden,0.55,0.084,0.739,0.097,1.167,0.051,0.0,0.0,0.922,0.27,0.0,0.0,1.119,0.354,0.377,0.006,0.386,-0.007,0.483,-0.01,0.566,0.206,7.1,1.06,3.25,2.070967741935484,2,Off-Ball Chaser
James Harden,1.462,0.055,0.811,0.078,0.708,0.051,0.824,0.072,0.855,0.161,1.167,0.025,0.932,0.469,0.377,0.006,0.386,-0.007,0.483,-0.01,0.566,0.206,7.1,1.06,3.25,2.070967741935484,0, Positional Perimeter Guard
Nemanja Bjelica,1.091,0.017,0.895,0.117,0.0,0.0,0.764,0.084,0.923,0.02,1.0,0.048,0.988,0.249,0.306,-0.008,0.422,-0.006,0.54,-0.021,0.4,0.445,4.8,0.54,3.76,1.8335403726708075,1,Paint Protector
Rajon Rondo,1.0,0.089,0.0,0.0,0.933,0.111,0.0,0.0,0.92,0.37,0.0,0.0,0.833,0.267,0.402,-0.004,0.375,0.044,0.434,0.037,0.529,0.13,8.4,0.58,3.75,2.835754189944134,2,Off-Ball Chaser
Romeo Langford,0.857,0.065,0.481,0.124,1.6,0.046,1.08,0.115,0.741,0.267,0.0,0.0,0.821,0.309,0.349,-0.024,0.328,-0.125,0.483,-0.125,0.286,0.352,7.2,0.59,4.12,1.4981366459627328,6,Versatile Positional Wing
Armoni Brooks,0.706,0.083,0.0,0.0,0.933,0.073,1.231,0.063,0.827,0.254,0.0,0.0,0.842,0.371,0.44,-0.043,0.34,-0.004,0.42,0.0,0.5,0.117,9.4,0.54,3.96,2.6538461538461537,2,Off-Ball Chaser
Anthony Davis,0.632,0.031,0.973,0.122,1.15,0.032,0.825,0.065,1.15,0.065,1.318,0.036,1.067,0.242,0.333,-0.026,0.413,-0.071,0.5,-0.057,0.371,0.497,5.0,1.13,3.61,2.4923076923076923,4,Versatile Rim Protector
Otto Porter Jr.,0.632,0.049,0.982,0.146,0.929,0.036,1.056,0.047,0.885,0.135,1.125,0.042,1.06,0.388,0.293,-0.013,0.454,-0.014,0.558,-0.015,0.639,0.341,6.1,0.76,3.83,2.5297297297297296,6,Versatile Positional Wing
Jonas Valanciunas,0.867,0.012,1.069,0.047,1.467,0.012,0.984,0.052,1.167,0.01,0.922,0.083,0.931,0.142,0.238,0.018,0.342,-0.007,0.452,-0.023,0.435,0.438,3.8,0.98,3.72,1.1762376237623764,1,Paint Protector
Domantas Sabonis,0.765,0.025,0.922,0.111,0.0,0.0,0.875,0.035,1.0,0.03,1.222,0.065,0.819,0.216,0.245,-0.027,0.418,-0.016,0.524,-0.019,0.419,0.387,4.5,1.19,3.94,1.5697674418604652,1,Paint Protector
Terence Davis,0.542,0.132,0.882,0.093,0.0,0.0,0.0,0.0,0.81,0.319,0.0,0.0,1.469,0.269,0.382,-0.047,0.412,0.016,0.482,0.036,0.538,0.304,6.7,0.64,3.91,2.6748603351955307,2,Off-Ball Chaser
Josh Green,0.394,0.088,1.069,0.077,1.0,0.064,1.0,0.034,0.779,0.385,1.0,0.04,1.009,0.284,0.336,-0.016,0.34,0.013,0.467,0.029,0.367,0.242,8.9,0.62,4.55,2.88,5,Perimeter Ball-Hawk
Larry Nance Jr.,1.167,0.039,1.082,0.16,0.941,0.055,0.8,0.033,1.174,0.075,0.0,0.0,0.893,0.274,0.354,-0.003,0.394,0.09,0.479,0.081,0.412,0.347,6.1,0.78,3.88,3.1539823008849552,2,Off-Ball Chaser
Danuel House Jr.,0.889,0.089,1.294,0.084,0.895,0.094,1.6,0.049,1.06,0.414,0.0,0.0,0.894,0.232,0.402,0.013,0.303,0.0,0.376,0.0,0.476,0.225,8.4,0.63,4.15,2.039306358381503,2,Off-Ball Chaser
JaMychal Green,1.077,0.034,1.323,0.08,0.0,0.0,1.048,0.054,0.714,0.054,0.231,0.034,0.906,0.33,0.344,-0.01,0.376,0.069,0.476,0.078,0.8,0.406,5.2,0.55,3.91,2.6222222222222222,4,Versatile Rim Protector
Marvin Bagley III,1.077,0.049,0.667,0.124,1.308,0.049,0.684,0.071,0.704,0.101,1.0,0.056,0.837,0.345,0.431,-0.005,0.315,-0.027,0.407,-0.052,0.476,0.42,4.7,0.88,4.14,0.9489539748953976,4,Versatile Rim Protector
P.J. Washington,0.824,0.025,1.038,0.117,0.5,0.024,0.973,0.111,0.927,0.061,1.24,0.037,1.055,0.322,0.347,-0.013,0.401,-0.015,0.49,-0.025,0.688,0.421,5.5,0.94,3.77,2.8058823529411763,4,Versatile Rim Protector
Obi Toppin,0.778,0.047,0.972,0.094,0.0,0.0,0.75,0.031,0.875,0.063,1.391,0.06,0.881,0.418,0.444,-0.033,0.335,-0.054,0.399,-0.033,0.56,0.287,5.7,0.63,4.06,1.494736842105263,4,Versatile Rim Protector
Josh Giddey,0.56,0.05,0.795,0.089,0.857,0.042,0.889,0.054,0.671,0.171,1.05,0.04,0.848,0.452,0.368,-0.052,0.443,-0.043,0.522,-0.04,0.351,0.287,6.0,1.08,3.88,1.542857142857143,6,Versatile Positional Wing
David Duke Jr.,0.938,0.117,1.1,0.073,0.0,0.0,0.0,0.0,0.944,0.394,0.0,0.0,1.081,0.27,0.388,-0.054,0.336,0.027,0.466,-0.001,0.5,0.507,7.6,0.58,4.2,3.0658064516129038,2,Off-Ball Chaser
Caris LeVert,1.4,0.081,0.552,0.078,0.842,0.051,1.44,0.068,0.906,0.316,1.818,0.03,1.059,0.322,0.395,0.014,0.337,0.055,0.43,0.034,0.5,0.257,8.1,1.0,3.68,1.8175895765472316,0, Positional Perimeter Guard
Jeremy Lamb,0.714,0.106,1.2,0.076,0.214,0.071,0.0,0.0,0.932,0.222,0.0,0.0,0.75,0.384,0.365,-0.063,0.419,0.056,0.496,0.068,0.688,0.253,6.2,0.55,3.77,2.435928143712575,2,Off-Ball Chaser
Alekesej Pokusevski,0.714,0.047,0.8,0.056,0.667,0.054,1.182,0.025,0.774,0.119,1.083,0.054,0.976,0.471,0.399,-0.028,0.411,-0.033,0.475,-0.016,0.619,0.296,5.4,0.68,3.82,2.102970297029703,4,Versatile Rim Protector
Derrick Rose,0.682,0.095,1.143,0.061,0.417,0.052,0.0,0.0,0.64,0.385,0.0,0.0,1.114,0.303,0.391,-0.06,0.327,-0.088,0.415,-0.109,0.381,0.269,9.6,0.86,3.94,1.866122448979592,2,Off-Ball Chaser
Rudy Gobert,1.143,0.011,0.966,0.071,1.5,0.008,0.647,0.027,1.083,0.01,0.768,0.076,0.792,0.157,0.249,-0.012,0.345,-0.13,0.458,-0.11,0.393,0.397,3.9,1.09,3.82,1.480373831775701,4,Versatile Rim Protector
Brandon Clarke,1.067,0.033,1.107,0.123,1.154,0.029,0.481,0.059,0.923,0.057,0.933,0.033,1.028,0.313,0.341,0.025,0.403,-0.082,0.491,-0.081,0.543,0.491,5.1,0.71,4.11,2.215384615384615,4,Versatile Rim Protector
Tony Snell,1.067,0.074,0.682,0.109,0.0,0.0,1.077,0.064,1.034,0.144,1.083,0.059,0.967,0.45,0.432,0.003,0.33,0.043,0.42,0.048,0.467,0.243,8.2,0.52,3.76,1.8348387096774197,0, Positional Perimeter Guard
Rui Hachimura,1.0,0.054,1.275,0.135,1.429,0.047,0.941,0.057,0.644,0.152,1.273,0.037,1.287,0.318,0.398,0.086,0.341,0.013,0.404,0.018,0.421,0.263,6.4,0.74,3.78,1.44,6,Versatile Positional Wing
Bryn Forbes,1.0,0.098,1.286,0.085,0.0,0.0,0.0,0.0,1.162,0.226,0.0,0.0,1.0,0.396,0.43,0.026,0.345,0.024,0.446,0.018,0.464,0.161,10.7,0.57,3.81,1.0736842105263158,2,Off-Ball Chaser
Bryn Forbes,0.941,0.094,0.571,0.078,0.0,0.0,0.0,0.0,0.795,0.244,0.0,0.0,0.943,0.389,0.43,0.026,0.345,0.024,0.446,0.018,0.464,0.161,10.7,0.57,3.81,1.0736842105263158,2,Off-Ball Chaser
Jaylen Nowell,1.0,0.056,1.13,0.08,1.0,0.077,0.0,0.0,0.806,0.233,0.0,0.0,1.053,0.456,0.399,-0.008,0.371,0.066,0.469,0.038,0.5,0.211,8.2,0.58,3.95,1.5821656050955413,2,Off-Ball Chaser
Max Strus,0.889,0.034,0.91,0.148,0.889,0.034,0.969,0.061,0.556,0.102,1.583,0.023,0.955,0.508,0.445,-0.01,0.314,0.006,0.384,0.023,0.581,0.238,8.1,0.8,3.87,1.2978540772532188,0, Positional Perimeter Guard
Jalen McDaniels,0.8,0.054,1.364,0.06,0.947,0.052,1.167,0.049,1.054,0.152,0.0,0.0,1.016,0.508,0.462,0.011,0.37,-0.052,0.422,-0.009,0.5,0.293,6.6,0.59,4.01,2.1644171779141104,2,Off-Ball Chaser
Jose Alvarado,0.571,0.096,0.688,0.055,0.563,0.055,0.737,0.065,0.76,0.341,0.0,0.0,1.043,0.317,0.452,-0.027,0.293,0.056,0.378,0.038,0.44,0.172,9.4,0.61,4.33,4.722077922077922,2,Off-Ball Chaser
Torrey Craig,0.552,0.068,1.0,0.107,0.793,0.068,0.857,0.065,1.079,0.297,0.0,0.0,1.043,0.271,0.352,-0.017,0.362,-0.02,0.452,-0.016,0.594,0.316,6.3,0.75,4.16,1.650731707317073,2,Off-Ball Chaser
Torrey Craig,1.5,0.072,1.25,0.054,1.0,0.067,0.0,0.0,0.923,0.291,0.0,0.0,1.026,0.35,0.352,-0.017,0.362,-0.02,0.452,-0.016,0.594,0.316,6.3,0.75,4.16,1.650731707317073,2,Off-Ball Chaser
Jalen Smith,1.7,0.05,1.03,0.165,0.0,0.0,1.0,0.065,0.0,0.0,0.0,0.0,1.093,0.27,0.29,-0.008,0.409,-0.055,0.522,-0.043,0.4,0.396,4.5,0.64,4.0,0.656353591160221,4,Versatile Rim Protector
Jalen Smith,0.0,0.0,0.677,0.172,0.0,0.0,1.083,0.067,0.0,0.0,0.0,0.0,0.722,0.2,0.29,-0.008,0.409,-0.055,0.522,-0.043,0.4,0.396,4.5,0.64,4.0,0.656353591160221,1,Paint Protector
Mo Bamba,1.308,0.014,0.957,0.078,1.333,0.017,0.93,0.048,1.0,0.017,1.256,0.043,1.164,0.237,0.316,-0.023,0.393,-0.061,0.456,-0.056,0.545,0.369,4.2,0.88,3.88,1.4147859922178987,4,Versatile Rim Protector
Andre Iguodala,1.308,0.065,0.867,0.075,0.0,0.0,0.25,0.06,0.836,0.307,0.0,0.0,0.885,0.307,0.333,-0.117,0.364,-0.053,0.476,-0.046,0.467,0.371,7.9,0.65,3.71,3.358762886597938,2,Off-Ball Chaser
Lindy Waters III,1.214,0.096,0.0,0.0,0.867,0.103,0.0,0.0,0.69,0.199,0.0,0.0,1.191,0.466,0.44,0.085,0.341,-0.096,0.429,-0.089,0.75,0.247,8.1,0.65,3.98,2.0903225806451613,2,Off-Ball Chaser
John Collins,1.063,0.025,1.148,0.084,1.208,0.038,0.895,0.059,0.816,0.077,0.848,0.052,1.181,0.328,0.358,0.04,0.378,-0.035,0.461,-0.034,0.462,0.415,4.4,1.05,3.84,1.2506493506493508,4,Versatile Rim Protector
Draymond Green,0.895,0.04,1.08,0.053,1.7,0.021,0.667,0.063,1.0,0.116,1.0,0.065,0.936,0.359,0.373,0.003,0.296,-0.088,0.388,-0.094,0.553,0.339,5.7,0.92,3.48,3.064359861591696,6,Versatile Positional Wing
Lonzo Ball,0.472,0.071,1.424,0.065,1.375,0.063,1.118,0.067,0.752,0.408,0.0,0.0,1.038,0.263,0.352,0.045,0.403,-0.061,0.476,-0.037,0.615,0.284,8.4,1.2,3.81,3.329479768786127,2,Off-Ball Chaser
Bobby Portis,1.059,0.021,0.943,0.128,0.0,0.0,0.911,0.068,1.417,0.029,1.016,0.078,0.751,0.268,0.355,-0.053,0.375,-0.058,0.454,-0.045,0.367,0.399,5.0,1.02,3.91,2.0553191489361704,4,Versatile Rim Protector
Seth Curry,0.947,0.083,0.733,0.066,1.0,0.068,0.938,0.035,0.843,0.334,0.941,0.037,1.053,0.33,0.397,-0.023,0.304,0.027,0.386,0.025,0.588,0.125,10.5,1.04,3.68,1.9243243243243249,0, Positional Perimeter Guard
Vit Krejci,0.905,0.085,1.182,0.089,0.688,0.065,0.0,0.0,0.785,0.262,0.0,0.0,0.99,0.407,0.388,-0.052,0.396,0.06,0.496,0.033,0.692,0.188,7.5,0.75,3.84,2.0817391304347828,2,Off-Ball Chaser
Carmelo Anthony,0.864,0.035,0.746,0.1,1.214,0.022,0.93,0.068,0.848,0.052,1.476,0.033,0.919,0.275,0.359,-0.026,0.378,0.015,0.47,-0.005,0.591,0.347,6.2,0.84,3.58,1.5784615384615384,6,Versatile Positional Wing
Taurean Prince,0.704,0.064,0.833,0.1,0.714,0.067,0.833,0.043,0.818,0.21,0.813,0.038,1.06,0.396,0.376,0.024,0.373,0.11,0.44,0.101,0.467,0.247,8.6,0.59,3.82,2.589473684210526,5,Perimeter Ball-Hawk
Gordon Hayward,0.679,0.068,0.643,0.102,0.773,0.053,0.842,0.046,1.072,0.201,0.833,0.029,1.067,0.437,0.381,0.032,0.359,-0.03,0.444,-0.018,0.439,0.257,7.9,1.1,3.78,1.5009404388714735,0, Positional Perimeter Guard
Tre Jones,0.655,0.066,1.154,0.059,1.043,0.053,0.864,0.05,0.875,0.42,1.214,0.032,1.101,0.295,0.365,-0.005,0.38,0.004,0.469,0.023,0.552,0.142,9.1,0.63,4.16,2.602409638554217,5,Perimeter Ball-Hawk
Jaxson Hayes,1.25,0.025,0.848,0.124,0.75,0.031,1.038,0.041,0.939,0.052,0.806,0.057,0.914,0.238,0.359,-0.029,0.342,-0.046,0.428,-0.03,0.469,0.399,6.0,0.69,3.88,2.052,6,Versatile Positional Wing
Chris Boucher,1.111,0.034,0.878,0.092,0.0,0.0,1.0,0.069,0.59,0.073,1.143,0.026,1.004,0.443,0.361,-0.042,0.42,-0.039,0.49,-0.042,0.375,0.431,4.6,0.75,4.01,2.0473933649289098,4,Versatile Rim Protector
Rudy Gay,0.8,0.066,1.262,0.111,1.0,0.053,0.87,0.061,1.054,0.147,1.333,0.032,0.932,0.308,0.375,0.028,0.328,-0.044,0.449,-0.055,0.36,0.351,5.7,0.63,3.77,2.247619047619048,6,Versatile Positional Wing
Buddy Hield,0.769,0.075,0.545,0.063,1.0,0.078,1.333,0.078,0.807,0.254,0.0,0.0,0.979,0.403,0.316,0.024,0.436,0.024,0.539,0.035,0.4,0.2,8.1,1.11,3.99,2.0103896103896104,2,Off-Ball Chaser
Buddy Hield,1.135,0.1,0.9,0.096,1.0,0.054,1.286,0.04,0.891,0.283,1.333,0.023,1.029,0.331,0.316,0.024,0.436,0.024,0.539,0.035,0.4,0.2,8.1,1.11,3.99,2.0103896103896104,0, Positional Perimeter Guard
Keita Bates-Diop,0.769,0.076,0.98,0.15,0.409,0.065,1.0,0.041,0.821,0.247,1.0,0.032,1.087,0.306,0.378,-0.025,0.388,-0.038,0.478,-0.017,0.6,0.29,6.1,0.6,4.02,2.066666666666667,6,Versatile Positional Wing
Alex Caruso,0.69,0.062,0.75,0.085,0.889,0.077,1.0,0.07,0.948,0.366,1.1,0.021,0.961,0.27,0.395,-0.057,0.314,0.057,0.397,0.027,0.741,0.264,8.8,1.0,3.94,4.332857142857143,5,Perimeter Ball-Hawk
