PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,MIN,DRIVE_PASSES_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ,Cluster,Archetype
Kelly Oubre Jr.,2021-22,1.449,0.064,76,0.99,0.093,0.913,0.043,0.783,0.056,0.0,0.0,0.662,0.066,1.345,0.027,1.113,0.058,1.07,0.346,1.149,0.218,26.3,0.196,7.3,0.223,0.1328671328671328,0.64,0.26,0.1,0.5934959349593495,0.2517482517482518,0.1869918699186991,0.4552845528455284,3,Versatile Wing Slasher
Pascal Siakam,2021-22,1.389,0.046,68,1.184,0.031,0.902,0.236,0.0,0.0,0.915,0.083,0.88,0.128,1.392,0.033,0.96,0.048,0.983,0.153,1.113,0.182,37.9,0.371,3.2,0.257,0.4672489082969432,0.3356164383561644,0.4452054794520548,0.2191780821917808,0.1797752808988764,0.6244541484716158,0.2808988764044943,0.1797752808988764,13,Iso-Wing Creator
Desmond Bane,2021-22,1.5,0.052,76,1.013,0.124,1.231,0.021,0.981,0.122,0.0,0.0,0.77,0.145,0.0,0.0,1.115,0.021,1.219,0.235,1.178,0.231,29.8,0.314,6.9,0.226,0.3109756097560975,0.3552631578947369,0.3289473684210526,0.3157894736842105,0.4758620689655172,0.323170731707317,0.4137931034482758,0.2827586206896551,0,Off-Guard Shot-Creator
Chimezie Metu,2021-22,1.508,0.118,61,0.0,0.0,0.682,0.04,0.0,0.0,1.027,0.067,0.0,0.0,1.0,0.084,1.313,0.029,0.814,0.449,1.1,0.145,21.3,0.282,3.1,0.184,0.2045454545454545,0.4772727272727272,0.3636363636363636,0.159090909090909,0.4133333333333333,0.3522727272727272,0.1466666666666666,0.3866666666666666,1,Versatile Big Creator
Monte Morris,2021-22,1.492,0.073,75,1.143,0.103,0.73,0.042,1.333,0.027,0.0,0.0,0.88,0.263,0.0,0.0,0.0,0.0,1.185,0.244,1.106,0.182,29.9,0.387,4.2,0.173,0.6814159292035398,0.3442622950819672,0.2295081967213114,0.4262295081967213,0.4077669902912621,0.3628318584070796,0.378640776699029,0.3398058252427184,0,Off-Guard Shot-Creator
Jaden McDaniels,2021-22,1.366,0.108,70,1.107,0.043,0.0,0.0,1.04,0.038,0.0,0.0,0.857,0.032,1.25,0.03,0.923,0.059,0.982,0.419,0.877,0.21,25.8,0.354,3.6,0.149,0.2555555555555555,0.6046511627906977,0.2790697674418604,0.1162790697674418,0.4556962025316455,0.3222222222222222,0.1139240506329113,0.4430379746835443,6,Spot-Up Shooter
Precious Achiuwa,2021-22,1.043,0.125,73,0.333,0.016,0.731,0.07,0.0,0.0,0.886,0.047,0.0,0.0,1.01,0.134,0.886,0.118,0.797,0.251,1.014,0.186,23.6,0.165,2.1,0.18,0.203883495145631,0.5409836065573771,0.3278688524590164,0.1311475409836065,0.253012048192771,0.2621359223300971,0.1204819277108433,0.2771084337349397,1,Versatile Big Creator
Khem Birch,2021-22,1.19,0.304,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982,0.215,0.891,0.212,0.364,0.085,1.318,0.085,18.0,0.333,0.3,0.108,0.4782608695652173,0.4705882352941176,0.4705882352941176,0.0588235294117647,0.0833333333333333,0.0869565217391304,0.0555555555555555,0.2222222222222222,4,Interior Big
Russell Westbrook,2021-22,1.175,0.047,78,0.818,0.026,0.908,0.172,1.417,0.007,0.798,0.058,0.828,0.262,0.0,0.0,0.796,0.032,0.897,0.131,0.85,0.187,34.3,0.469,3.4,0.264,0.6359447004608296,0.5564516129032259,0.2096774193548387,0.2338709677419354,0.2151898734177215,0.7788018433179724,0.3227848101265822,0.120253164556962,9,Aggressive Guard
JaMychal Green,2021-22,1.177,0.184,67,0.0,0.0,0.0,0.0,0.0,0.0,1.083,0.056,0.0,0.0,0.908,0.253,1.237,0.137,1.0,0.156,1.22,0.116,16.2,0.471,1.9,0.168,0.265625,0.7419354838709676,0.1612903225806451,0.0967741935483871,0.3877551020408162,0.0468749999999999,0.0204081632653061,0.4285714285714285,12,Stretch Big
