PLAYER_NAME,Season,Cut PPP Rank,Cut FREQ Rank,GP Rank,Handoff PPP Rank,Handoff FREQ Rank,Isolation PPP Rank,Isolation FREQ Rank,Misc PPP Rank,Misc FREQ Rank,OffScreen PPP Rank,OffScreen FREQ Rank,Postup PPP Rank,Postup FREQ Rank,PRBallHandler PPP Rank,PRBallHandler FREQ Rank,PRRollman PPP Rank,PRRollman FREQ Rank,OffRebound PPP Rank,OffRebound FREQ Rank,Spotup PPP Rank,Spotup FREQ Rank,Transition PPP Rank,Transition FREQ Rank,Total Poss Rank,MIN Rank,POTENTIAL_AST Rank,DRIVE_PASSES_PCT Rank,PULL_UP_FG3_PCT Rank,CATCH_SHOOT_FG_PCT Rank,FG3A Rank,USG_PCT Rank,POTENTIAL_AST FREQ Rank,Restricted Area FREQ Rank,In The Paint (Non-RA) FREQ Rank,Mid-Range FREQ Rank,3P FREQ Rank,Drives FREQ Rank,PULL_UP FREQ Rank,CATCH_SHOOT FREQ Rank
Jarrett Allen,2021-22,0.6417910447761194,0.9761194029850746,0.3940298507462687,0.15074626865671642,0.15074626865671642,0.9880597014925373,0.4373134328358209,0.5477611940298508,0.8074626865671641,0.21940298507462686,0.21940298507462686,0.9149253731343283,0.9283582089552239,0.14477611940298507,0.14328358208955225,0.8716417910447761,0.8716417910447761,0.7880597014925373,0.9104477611940298,0.3,0.056716417910447764,0.982089552238806,0.06865671641791045,0.6746268656716418,0.8059701492537313,0.40746268656716417,0.23134328358208955,0.9656716417910448,0.5761194029850746,0.06567164179104477,0.45671641791044776,0.1791044776119403,0.8716417910447761,0.33134328358208953,0.13134328358208955,0.05373134328358209,0.11044776119402985,0.023880597014925373,0.07761194029850746
Rudy Gobert,2021-22,0.6686567164179105,0.9462686567164179,0.5895522388059702,0.15074626865671642,0.15074626865671642,0.18208955223880596,0.18208955223880596,0.6149253731343284,0.9731343283582089,0.21940298507462686,0.21940298507462686,0.9223880597014925,0.7701492537313432,0.14477611940298507,0.14328358208955225,0.8955223880597015,0.9582089552238806,0.8805970149253731,0.9537313432835821,0.019402985074626865,0.019402985074626865,0.9626865671641791,0.08358208955223881,0.6313432835820896,0.7985074626865671,0.09701492537313433,0.029850746268656716,0.0791044776119403,0.01791044776119403,0.049253731343283584,0.3656716417910448,0.03283582089552239,0.991044776119403,0.029850746268656716,0.016417910447761194,0.04477611940298507,0.029850746268656716,0.026865671641791045,0.011940298507462687
Robert Williams III,2021-22,0.9223880597014925,1.0,0.4701492537313433,0.15074626865671642,0.15074626865671642,0.18208955223880596,0.18208955223880596,0.07313432835820896,0.8865671641791045,0.21940298507462686,0.21940298507462686,0.2955223880597015,0.2955223880597015,0.14477611940298507,0.14328358208955225,0.9059701492537313,0.8164179104477612,0.7880597014925373,0.991044776119403,0.019402985074626865,0.019402985074626865,0.8522388059701492,0.09701492537313433,0.2955223880597015,0.7044776119402985,0.4388059701492537,0.9970149253731343,0.0791044776119403,0.005970149253731343,0.020895522388059702,0.04626865671641791,0.6477611940298508,0.9880597014925373,0.020895522388059702,0.08059701492537313,0.020895522388059702,0.008955223880597015,0.011940298507462687,0.014925373134328358
Evan Mobley,2021-22,0.5134328358208955,0.8805970149253731,0.6985074626865672,0.15074626865671642,0.15074626865671642,0.7388059701492538,0.8432835820895522,0.5164179104477612,0.5791044776119403,0.21940298507462686,0.21940298507462686,0.835820895522388,0.9253731343283582,0.42686567164179107,0.3044776119402985,0.5611940298507463,0.8208955223880597,0.5850746268656717,0.744776119402985,0.0626865671641791,0.22388059701492538,0.49402985074626865,0.13582089552238805,0.753731343283582,0.8805970149253731,0.6567164179104478,0.18507462686567164,0.18059701492537314,0.11492537313432835,0.16417910447761194,0.6104477611940299,0.4507462686567164,0.4208955223880597,0.7253731343283583,0.5164179104477612,0.11641791044776119,0.30149253731343284,0.4208955223880597,0.15223880597014924
Clint Capela,2021-22,0.5328358208955224,0.9611940298507463,0.8373134328358209,0.15074626865671642,0.15074626865671642,0.18208955223880596,0.18208955223880596,0.6358208955223881,0.5507462686567164,0.21940298507462686,0.21940298507462686,0.6925373134328359,0.6671641791044776,0.14477611940298507,0.14328358208955225,0.9223880597014925,0.9492537313432836,0.31343283582089554,0.9880597014925373,0.019402985074626865,0.019402985074626865,0.8656716417910447,0.15522388059701492,0.48507462686567165,0.5970149253731343,0.208955223880597,0.01791044776119403,0.0791044776119403,0.005970149253731343,0.020895522388059702,0.23582089552238805,0.11343283582089553,0.9671641791044776,0.10746268656716418,0.03283582089552239,0.020895522388059702,0.01791044776119403,0.011940298507462687,0.005970149253731343
Dwight Powell,2021-22,0.9134328358208955,0.9731343283582089,0.9940298507462687,0.15074626865671642,0.15074626865671642,0.18208955223880596,0.18208955223880596,0.5477611940298508,0.9671641791044776,0.21940298507462686,0.21940298507462686,0.9940298507462687,0.6776119402985075,0.14477611940298507,0.14328358208955225,0.9641791044776119,0.9731343283582089,0.8507462686567164,0.8328358208955224,0.1328358208955224,0.11343283582089553,0.9970149253731343,0.06865671641791045,0.2208955223880597,0.3447761194029851,0.1537313432835821,0.42686567164179107,0.0791044776119403,0.10746268656716418,0.09850746268656717,0.14925373134328357,0.2835820895522388,0.9850746268656716,0.01791044776119403,0.11044776119402985,0.1044776119402985,0.09850746268656717,0.05223880597014925,0.09850746268656717
Jakob Poeltl,2021-22,0.5164179104477612,0.9194029850746268,0.6656716417910448,0.15074626865671642,0.15074626865671642,0.45223880597014926,0.41194029850746267,0.34328358208955223,0.9388059701492537,0.21940298507462686,0.21940298507462686,0.8164179104477612,0.8865671641791045,0.14477611940298507,0.14328358208955225,0.7910447761194029,0.9791044776119403,0.6537313432835821,0.9223880597014925,0.3402985074626866,0.041791044776119404,0.7119402985074627,0.01791044776119403,0.6388059701492538,0.664179104477612,0.5970149253731343,0.44328358208955226,0.9985074626865672,0.991044776119403,0.020895522388059702,0.49701492537313435,0.5074626865671642,0.5671641791044776,0.9044776119402985,0.10149253731343283,0.020895522388059702,0.10746268656716418,0.13432835820895522,0.13134328358208955
Kevon Looney,2021-22,0.5044776119402985,0.9970149253731343,0.9940298507462687,0.15074626865671642,0.15074626865671642,0.18208955223880596,0.18208955223880596,0.0955223880597015,0.9522388059701492,0.21940298507462686,0.21940298507462686,0.6776119402985075,0.6671641791044776,0.14477611940298507,0.14328358208955225,0.5850746268656717,0.7746268656716417,0.48955223880597015,0.9492537313432836,0.04477611940298507,0.08955223880597014,0.9283582089552239,0.04626865671641791,0.1,0.3119402985074627,0.4597014925373134,0.2865671641791045,0.0791044776119403,0.0626865671641791,0.020895522388059702,0.0791044776119403,0.8238805970149253,0.8686567164179104,0.06716417910447761,0.3835820895522388,0.020895522388059702,0.1701492537313433,0.21492537313432836,0.08955223880597014
Deandre Ayton,2021-22,0.6985074626865672,0.8895522388059701,0.4208955223880597,0.15074626865671642,0.15074626865671642,0.18208955223880596,0.18208955223880596,0.3,0.6164179104477612,0.21940298507462686,0.21940298507462686,0.9059701492537313,0.9850746268656716,0.14477611940298507,0.14328358208955225,0.8477611940298507,0.982089552238806,0.6313432835820896,0.8507462686567164,0.31343283582089554,0.03880597014925373,0.9701492537313433,0.0626865671641791,0.7223880597014926,0.6925373134328359,0.208955223880597,0.03880597014925373,0.0791044776119403,0.9940298507462687,0.08059701492537313,0.7402985074626866,0.03880597014925373,0.28955223880597014,0.8985074626865671,0.48059701492537316,0.05970149253731343,0.04776119402985075,0.13880597014925372,0.2955223880597015
Nikola Jokic,2021-22,0.755223880597015,0.6492537313432836,0.8373134328358209,0.15074626865671642,0.15074626865671642,0.9253731343283582,0.5761194029850746,0.6955223880597015,0.8701492537313433,0.8597014925373134,0.7850746268656716,0.9731343283582089,0.982089552238806,0.9283582089552239,0.3567164179104478,0.7014925373134329,0.8432835820895522,0.8746268656716418,0.7880597014925373,0.6328358208955224,0.14925373134328357,0.5373134328358209,0.13134328358208955,0.9417910447761194,0.8626865671641791,0.9701492537313433,0.3656716417910448,0.5880597014925373,0.7,0.5567164179104478,0.9671641791044776,0.8059701492537313,0.4716417910447761,0.8597014925373134,0.33134328358208953,0.19701492537313434,0.25970149253731345,0.2716417910447761,0.3253731343283582
