PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,Misc PPP,Misc FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,Total Poss,MIN,POTENTIAL_AST,DRIVE_PASSES_PCT,PULL_UP_FG3_PCT,CATCH_SHOOT_FG_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ
Gordon Hayward,2021-22,1.388,0.064,49,0.968,0.082,1.109,0.072,0.645,0.041,0.977,0.058,0.958,0.063,0.796,0.142,1.083,0.032,0.938,0.021,1.03,0.218,1.146,0.207,15.600000000000001,31.9,6.8,0.438,0.425,0.395,4.5,0.202,0.43589743589743585,0.4074074074074074,0.308641975308642,0.2839506172839506,0.35714285714285715,0.532051282051282,0.30158730158730157,0.32539682539682535
Oshae Brissett,2021-22,1.063,0.101,67,0.708,0.038,0.0,0.0,0.5,0.041,1.167,0.019,0.0,0.0,0.548,0.049,0.925,0.063,0.942,0.082,0.951,0.419,1.145,0.174,9.3,23.3,1.8,0.257,0.238,0.355,3.5,0.166,0.1935483870967742,0.725,0.2,0.075,0.46052631578947373,0.3548387096774193,0.07894736842105263,0.4342105263157895
Alex Len,2021-22,1.03,0.267,39,0.0,0.0,0.0,0.0,0.208,0.097,0.0,0.0,0.462,0.053,0.0,0.0,1.0,0.304,1.3,0.121,1.176,0.069,1.048,0.085,6.2,15.9,1.9,0.0,0.0,0.342,0.5,0.165,0.30645161290322576,0.55,0.425,0.025,0.1111111111111111,0.04838709677419355,0.022222222222222223,0.2222222222222222
Terry Taylor,2021-22,1.457,0.174,33,0.0,0.0,0.0,0.0,0.417,0.045,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.152,1.377,0.231,0.951,0.231,1.063,0.121,7.6,21.6,2.1,0.346,0.25,0.368,1.2,0.151,0.27631578947368424,0.7272727272727273,0.23636363636363636,0.03636363636363637,0.1791044776119403,0.2105263157894737,0.05970149253731343,0.1791044776119403
Kenrich Williams,2021-22,1.435,0.118,49,0.0,0.0,1.0,0.072,0.16,0.064,0.9,0.026,0.286,0.036,0.95,0.051,0.0,0.0,0.912,0.087,0.952,0.317,0.947,0.192,7.4,21.9,4.2,0.532,0.333,0.35,2.5,0.153,0.5675675675675675,0.5,0.3,0.2,0.38461538461538464,0.554054054054054,0.23076923076923078,0.3076923076923077
Damion Lee,2021-22,1.444,0.099,63,0.829,0.09,0.0,0.0,0.8,0.066,1.121,0.127,0.0,0.0,0.4,0.044,0.0,0.0,1.5,0.022,0.961,0.393,1.175,0.125,7.1000000000000005,19.9,2.2,0.427,0.444,0.33,3.0,0.156,0.30985915492957744,0.4516129032258064,0.25806451612903225,0.2903225806451613,0.49180327868852464,0.4225352112676056,0.21311475409836067,0.45901639344262296
Zach LaVine,2021-22,1.641,0.026,67,1.065,0.051,1.02,0.13,0.803,0.044,1.0,0.067,0.769,0.026,0.959,0.338,1.2,0.007,0.714,0.009,1.19,0.136,1.277,0.168,23.0,34.7,8.8,0.278,0.333,0.455,7.1,0.284,0.3826086956521739,0.4905660377358491,0.16037735849056603,0.34905660377358494,0.4011299435028249,0.43043478260869567,0.480225988700565,0.1581920903954802
Devin Booker,2021-22,1.488,0.025,68,0.738,0.062,0.916,0.13,0.816,0.044,1.034,0.085,0.889,0.026,0.99,0.277,1.1,0.006,1.138,0.017,1.147,0.126,1.213,0.203,25.299999999999997,34.5,8.4,0.324,0.357,0.435,7.0,0.313,0.33201581027667987,0.20714285714285713,0.3,0.4928571428571429,0.3349282296650718,0.383399209486166,0.5645933014354068,0.1722488038277512
Grant Williams,2021-22,1.255,0.095,77,0.0,0.0,0.0,0.0,0.514,0.065,0.0,0.0,1.44,0.047,0.9,0.019,1.087,0.043,1.185,0.05,1.139,0.484,1.186,0.161,6.799999999999999,24.4,2.0,0.43,0.389,0.415,3.4,0.123,0.2941176470588236,0.5909090909090908,0.3181818181818181,0.09090909090909091,0.6071428571428572,0.23529411764705888,0.07142857142857144,0.5535714285714286
Josh Green,2021-22,1.4,0.14,67,0.2,0.031,0.0,0.0,0.313,0.05,0.0,0.0,0.0,0.0,0.5,0.044,0.0,0.0,0.846,0.04,0.919,0.383,1.28,0.255,4.4,15.5,2.2,0.51,0.333,0.36,1.2,0.13,0.5,0.5769230769230769,0.2692307692307692,0.15384615384615385,0.3157894736842105,0.5227272727272726,0.15789473684210525,0.2894736842105263
Goga Bitadze,2021-22,1.167,0.16,50,0.0,0.0,0.0,0.0,0.207,0.086,0.0,0.0,0.852,0.08,0.0,0.0,1.247,0.288,1.148,0.16,0.633,0.145,1.636,0.065,6.6,14.6,1.8,0.353,0.0,0.293,1.6,0.191,0.27272727272727276,0.7714285714285714,0.19999999999999996,0.02857142857142857,0.32,0.045454545454545456,0.04,0.32
Tyler Herro,2021-22,1.386,0.032,66,0.895,0.103,0.783,0.093,0.808,0.056,0.92,0.063,0.0,0.0,0.879,0.328,0.0,0.0,1.529,0.012,1.225,0.15,1.064,0.158,20.8,32.6,8.1,0.395,0.375,0.441,6.7,0.278,0.38942307692307687,0.28846153846153844,0.3173076923076923,0.39423076923076916,0.3941176470588235,0.5673076923076923,0.48235294117647054,0.21176470588235294
Isaiah Jackson,2021-22,1.245,0.171,36,0.0,0.0,0.0,0.0,0.444,0.094,0.0,0.0,0.611,0.063,0.0,0.0,1.2,0.297,1.082,0.171,0.773,0.077,1.212,0.115,8.0,15.0,0.7,0.154,0.5,0.35,0.4,0.214,0.0875,0.7543859649122806,0.17543859649122806,0.07017543859649122,0.07017543859649122,0.05,0.05263157894736842,0.10526315789473684
Lamar Stevens,2021-22,1.173,0.133,63,1.235,0.043,0.588,0.043,0.643,0.036,0.0,0.0,0.462,0.033,0.895,0.049,0.0,0.0,1.16,0.064,0.844,0.345,1.184,0.223,6.0,16.1,1.7,0.243,0.0,0.301,1.0,0.169,0.2833333333333333,0.5365853658536585,0.26829268292682923,0.19512195121951217,0.19607843137254904,0.39999999999999997,0.21568627450980396,0.23529411764705882
Taj Gibson,2021-22,1.277,0.214,52,0.0,0.0,0.0,0.0,0.762,0.095,0.0,0.0,1.182,0.05,0.0,0.0,0.86,0.195,0.854,0.218,1.257,0.159,1.2,0.068,4.199999999999999,18.2,1.3,0.6,0.0,0.415,0.7,0.099,0.3095238095238096,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.21874999999999997,0.023809523809523815,0.03125,0.40625
Will Barton,2021-22,1.475,0.037,71,0.843,0.065,0.893,0.078,0.5,0.037,0.853,0.031,0.4,0.009,0.797,0.219,0.0,0.0,1.032,0.029,0.943,0.242,1.175,0.248,14.7,32.1,6.6,0.389,0.338,0.382,6.1,0.205,0.4489795918367347,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.48412698412698413,0.41496598639455784,0.31746031746031744,0.31746031746031744
Derrick Jones Jr.,2021-22,1.311,0.176,51,0.0,0.0,0.0,0.0,0.286,0.055,0.0,0.0,0.0,0.0,0.0,0.0,1.152,0.129,1.175,0.156,0.779,0.301,1.696,0.18,5.0,17.6,1.2,0.182,0.5,0.333,1.2,0.119,0.24,0.8846153846153845,0.11538461538461538,0.0,0.3157894736842105,0.12,0.0,0.3157894736842105
Kevin Durant,2021-22,1.261,0.031,55,1.043,0.064,1.097,0.195,0.846,0.053,1.13,0.104,1.126,0.091,1.045,0.165,0.667,0.016,1.286,0.009,1.117,0.133,1.192,0.138,27.0,37.2,10.8,0.305,0.403,0.475,5.5,0.31,0.4,0.16216216216216214,0.33783783783783783,0.5,0.270935960591133,0.362962962962963,0.5615763546798029,0.21674876847290642
Corey Kispert,2021-22,1.541,0.063,77,0.717,0.078,0.0,0.0,0.429,0.048,0.681,0.08,0.0,0.0,1.1,0.034,1.0,0.024,1.259,0.046,1.108,0.441,1.29,0.182,8.2,23.4,1.8,0.385,0.167,0.354,4.2,0.142,0.21951219512195125,0.5599999999999999,0.27999999999999997,0.16,0.6268656716417911,0.17073170731707318,0.11940298507462686,0.582089552238806
Kentavious Caldwell-Pope,2021-22,1.39,0.042,77,0.771,0.071,0.754,0.062,0.676,0.034,1.147,0.096,0.0,0.0,0.831,0.126,1.412,0.017,0.889,0.018,1.091,0.344,1.086,0.189,12.4,30.2,3.6,0.346,0.312,0.426,5.3,0.185,0.2903225806451613,0.2727272727272727,0.23636363636363636,0.49090909090909096,0.4907407407407407,0.282258064516129,0.3611111111111111,0.41666666666666663
Malik Monk,2021-22,1.357,0.042,76,0.903,0.062,0.698,0.053,0.574,0.047,1.078,0.064,0.0,0.0,0.886,0.177,1.444,0.036,1.706,0.017,1.015,0.26,1.242,0.241,13.3,28.1,5.6,0.566,0.345,0.419,5.8,0.195,0.42105263157894735,0.6078431372549019,0.2549019607843137,0.1372549019607843,0.5321100917431192,0.5263157894736842,0.29357798165137616,0.3302752293577982
Tony Bradley,2021-22,1.341,0.268,52,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.275,1.0,0.196,0.0,0.0,1.333,0.078,2.8000000000000003,10.0,0.9,0.0,0.0,0.583,0.0,0.128,0.3214285714285714,0.7391304347826085,0.17391304347826086,0.08695652173913043,0.0,0.03571428571428571,0.0,0.09090909090909091
