PLAYER_NAME,POTENTIAL_AST,Season,DRIVES,DRIVE_PASSES_PCT,PULL_UP_FGA,PULL_UP_FG3_PCT,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FGA,Restricted Area FGA,In The Paint (Non-RA) FGA,Mid-Range FGA,2PA,FGA,FG3A,USG_PCT
Tobias Harris,6.5,2021-22,9.2,0.324,3.6,0.439,0.354,3.3,4.2,4.4,1.7,10.3,14.0,3.8,0.214
Tomas Satoransky,6.6,2021-22,4.5,0.606,1.0,0.222,0.205,0.8,1.0,0.9,0.6,2.5,3.5,1.0,0.124
Tony Bradley,0.9,2021-22,0.1,0.0,0.0,,0.583,0.2,1.7,0.4,0.2,2.3000000000000003,2.2,0.0,0.128
Tony Snell,1.3,2021-22,0.8,0.533,0.3,0.286,0.363,2.3,0.4,0.3,0.2,0.8999999999999999,3.2,2.4,0.099
Torrey Craig,2.2,2021-22,1.5,0.375,0.8,0.3,0.335,2.8,1.6,0.6,0.4,2.6,5.7,3.0,0.139
Trae Young,17.2,2021-22,17.3,0.39,12.0,0.37,0.488,1.1,4.0,4.8,3.5,12.3,20.3,8.0,0.333
Trayvon Palmer,0.0,2021-22,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.053
Tre Jones,6.7,2021-22,5.3,0.404,1.5,0.133,0.237,0.6,1.8,1.8,0.6,4.2,4.9,0.7,0.151
Tre Mann,3.0,2021-22,7.1,0.383,4.5,0.342,0.379,2.1,1.5,2.5,1.2,5.2,9.8,4.5,0.213
Tremont Waters,4.7,2021-22,5.0,0.533,3.3,0.125,1.0,0.3,0.3,0.7,0.7,1.7,4.7,3.0,0.15
Trendon Watford,3.5,2021-22,2.3,0.333,0.6,0.0,0.288,1.1,2.6,1.9,0.3,4.8,5.6,0.8,0.169
Trent Forrest,3.1,2021-22,5.0,0.497,0.3,0.2,0.182,0.4,1.0,1.0,0.2,2.2,2.6,0.5,0.124
Trevelin Queen,1.1,2021-22,0.7,0.429,1.1,0.455,0.308,1.3,0.8,0.1,0.0,0.9,3.3,2.4,0.219
Trevon Scott,0.5,2021-22,1.5,0.0,0.5,,0.0,0.5,3.0,1.0,0.0,4.0,3.0,0.5,0.207
Trevor Ariza,1.8,2021-22,1.2,0.536,0.3,0.167,0.279,2.8,0.9,0.1,0.0,1.0,4.1,3.1,0.11
Trey Burke,2.3,2021-22,3.1,0.435,2.5,0.259,0.35,1.4,0.7,1.0,1.5,3.2,5.1,2.0,0.25
Trey Lyles,2.5,2021-22,3.8,0.342,0.9,0.125,0.35,2.7,2.7,1.3,0.6,4.6,7.5,2.8,0.205
Trey Murphy III,1.2,2021-22,1.1,0.424,0.4,0.273,0.388,2.9,1.0,0.3,0.2,1.5,4.5,3.0,0.147
Tristan Thompson,1.1,2021-22,0.8,0.14,0.1,0.0,0.286,0.1,2.7,1.9,0.1,4.699999999999999,4.7,0.1,0.168
Troy Brown Jr.,1.5,2021-22,1.3,0.4,0.4,0.25,0.365,1.9,1.3,0.4,0.3,2.0,3.9,2.0,0.118
Ty Jerome,4.6,2021-22,5.8,0.453,2.1,0.245,0.312,2.9,0.7,2.0,0.3,3.0,6.8,3.9,0.205
Tyler Cook,0.7,2021-22,0.3,0.2,0.0,,,0.0,1.6,0.3,0.0,1.9000000000000001,1.9,0.0,0.127
Tyler Hall,1.0,2021-22,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Tyler Herro,8.1,2021-22,11.8,0.395,8.2,0.375,0.441,3.6,3.0,3.3,4.1,10.399999999999999,17.0,6.7,0.278
Tyler Johnson,2.8,2021-22,0.5,0.667,1.0,0.0,0.357,2.3,0.0,0.0,1.2,1.2,3.3,2.2,0.1
Tyrell Terry,0.0,2021-22,0.0,0.0,0.5,,,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.111
Tyrese Haliburton,15.6,2021-22,12.1,0.536,6.4,0.404,0.427,1.9,1.9,2.6,2.2,6.7,11.8,5.1,0.184
Tyrese Maxey,7.6,2021-22,8.9,0.225,5.2,0.403,0.455,2.2,4.1,2.9,2.2,9.2,13.3,4.1,0.199
Tyrone Wallace,1.2,2021-22,1.7,0.5,0.5,0.0,0.286,1.2,1.2,0.7,0.3,2.1999999999999997,3.3,1.3,0.13
Tyus Jones,8.1,2021-22,5.3,0.295,3.4,0.304,0.412,2.3,0.9,2.7,1.1,4.7,7.6,2.8,0.164
Udoka Azubuike,0.1,2021-22,0.0,0.0,0.0,,0.0,0.1,2.6,0.5,0.0,3.1,2.9,0.0,0.143
Udonis Haslem,0.8,2021-22,0.1,0.0,0.2,,0.25,0.6,1.2,0.3,0.8,2.3,2.4,0.3,0.183
Usman Garuba,1.2,2021-22,0.3,0.714,0.1,0.0,0.278,0.8,0.9,0.1,0.0,1.0,1.8,0.8,0.091
Vernon Carey Jr.,0.4,2021-22,0.1,1.0,0.1,,0.0,0.4,1.6,0.2,0.7,2.5,1.9,0.0,0.179
Victor Oladipo,5.4,2021-22,6.8,0.519,3.8,0.438,0.389,2.3,2.4,1.0,1.3,4.7,9.1,4.5,0.247
Vit Krejci,4.2,2021-22,4.2,0.624,0.9,0.353,0.317,2.7,1.2,0.9,0.2,2.3000000000000003,5.6,3.3,0.125
Vlatko Cancar,2.5,2021-22,1.1,0.471,0.2,1.0,0.429,0.9,1.4,0.5,0.1,2.0,2.7,0.8,0.131
Wayne Ellington,1.3,2021-22,0.7,0.643,1.4,0.294,0.422,3.7,0.3,0.2,0.2,0.7,5.5,4.9,0.135
Wayne Selden,0.3,2021-22,1.7,0.2,0.3,1.0,0.0,0.3,0.0,0.7,0.0,0.7,1.3,0.7,0.136
Wendell Carter Jr.,5.1,2021-22,2.8,0.239,1.1,0.286,0.365,4.1,4.1,2.2,1.2,7.5,11.0,3.5,0.206
