PLAYER_NAME,GP_x,G_x,FREQ 3 Pointers,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS 3 Pointers,Season,GP_y,G_y,FREQ Less Than 6Ft,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS Less Than 6Ft,GP,G,FREQ Less Than 10Ft,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS Less Than 10Ft
DeMarcus Cousins,30,30,0.276,2.07,4.73,0.437,0.358,0.079,2018-19,30,29,0.366,3.5,6.27,0.559,0.627,-0.069,30,30,0.449,4.03,7.7,0.524,0.586,-0.062
Derrick White,67,64,0.359,1.66,4.73,0.35,0.354,-0.003,2018-19,67,63,0.323,2.48,4.25,0.582,0.595,-0.012,67,65,0.418,2.93,5.51,0.531,0.555,-0.024
Jayson Tatum,79,77,0.436,1.52,4.71,0.323,0.356,-0.033,2018-19,79,73,0.353,2.24,3.81,0.588,0.607,-0.019,79,74,0.416,2.52,4.49,0.561,0.564,-0.003
James Harden,77,76,0.322,1.57,4.71,0.333,0.351,-0.017,2018-19,77,77,0.418,3.79,6.13,0.619,0.613,0.006,77,77,0.531,4.25,7.78,0.546,0.572,-0.026
Kris Dunn,45,44,0.395,1.6,4.67,0.343,0.357,-0.014,2018-19,45,44,0.372,2.69,4.4,0.611,0.595,0.016,45,44,0.459,3.13,5.42,0.578,0.553,0.024
Anthony Davis,56,56,0.276,1.61,4.63,0.347,0.354,-0.006,2018-19,56,56,0.4,4.09,6.7,0.611,0.622,-0.011,56,56,0.483,4.41,8.09,0.545,0.583,-0.037
Deandre Ayton,71,71,0.256,1.63,4.62,0.354,0.357,-0.004,2018-19,71,71,0.411,4.68,7.42,0.63,0.624,0.006,71,71,0.526,5.58,9.49,0.588,0.585,0.002
Paul Millsap,70,68,0.366,1.47,4.59,0.321,0.351,-0.03,2018-19,70,69,0.391,3.23,4.9,0.659,0.622,0.037,70,69,0.465,3.63,5.83,0.623,0.581,0.041
Ben Simmons,76,76,0.37,1.34,4.59,0.292,0.357,-0.065,2018-19,76,75,0.394,3.07,4.89,0.626,0.603,0.023,76,75,0.472,3.46,5.86,0.591,0.564,0.027
Steven Adams,79,75,0.251,1.54,4.59,0.336,0.352,-0.016,2018-19,79,79,0.431,4.56,7.91,0.576,0.618,-0.042,79,79,0.531,5.38,9.75,0.552,0.58,-0.028
Jeremy Lamb,77,76,0.398,1.57,4.58,0.343,0.362,-0.019,2018-19,77,76,0.369,2.81,4.26,0.659,0.606,0.053,77,76,0.431,3.09,4.97,0.621,0.561,0.061
De'Aaron Fox,81,80,0.391,1.53,4.57,0.335,0.355,-0.02,2018-19,81,75,0.402,2.95,4.69,0.629,0.596,0.033,81,79,0.474,3.35,5.53,0.605,0.557,0.048
Justin Holiday,80,80,0.402,1.69,4.55,0.371,0.362,0.009,2018-19,80,78,0.372,2.45,4.21,0.582,0.61,-0.028,80,79,0.433,2.79,4.9,0.569,0.571,-0.002
Danny Green,79,77,0.367,1.77,4.54,0.39,0.362,0.028,2018-19,79,78,0.362,2.65,4.48,0.59,0.599,-0.009,79,78,0.438,2.92,5.42,0.54,0.559,-0.019
LeBron James,55,55,0.419,1.6,4.49,0.356,0.356,0.0,2018-19,55,55,0.359,2.24,3.85,0.58,0.609,-0.029,55,55,0.425,2.45,4.56,0.538,0.57,-0.032
Cedi Osman,76,73,0.37,1.74,4.49,0.387,0.356,0.031,2018-19,76,75,0.349,2.82,4.22,0.667,0.605,0.061,76,76,0.427,3.29,5.17,0.636,0.561,0.075
P.J. Tucker,81,79,0.358,1.31,4.47,0.293,0.352,-0.059,2018-19,81,80,0.393,2.98,4.9,0.607,0.619,-0.012,81,81,0.491,3.51,6.12,0.573,0.576,-0.003
Clint Capela,66,64,0.252,1.48,4.47,0.332,0.35,-0.018,2018-19,66,66,0.435,4.44,7.73,0.575,0.613,-0.038,66,66,0.542,5.3,9.62,0.551,0.574,-0.022
Kawhi Leonard,60,59,0.422,1.67,4.47,0.373,0.354,0.019,2018-19,60,57,0.351,2.08,3.72,0.561,0.614,-0.053,60,59,0.411,2.27,4.35,0.521,0.567,-0.046
Elfrid Payton,42,41,0.367,1.69,4.45,0.38,0.362,0.017,2018-19,42,41,0.373,2.55,4.52,0.563,0.584,-0.021,42,42,0.451,2.98,5.48,0.543,0.547,-0.003
John Wall,32,30,0.377,1.78,4.44,0.401,0.361,0.041,2018-19,32,32,0.371,2.81,4.38,0.643,0.595,0.048,32,32,0.438,2.97,5.16,0.576,0.553,0.023
Jabari Parker,62,59,0.388,1.66,4.42,0.376,0.351,0.025,2018-19,62,62,0.375,2.6,4.27,0.608,0.603,0.005,62,62,0.46,3.02,5.24,0.575,0.567,0.008
Tobias Harris,82,80,0.343,1.66,4.4,0.377,0.354,0.023,2018-19,82,81,0.373,2.94,4.79,0.613,0.613,0.0,82,82,0.481,3.46,6.17,0.561,0.572,-0.01
Carmelo Anthony,10,10,0.37,1.6,4.4,0.364,0.364,0.0,2018-19,10,10,0.378,3.1,4.5,0.689,0.585,0.104,10,10,0.521,3.6,6.2,0.581,0.557,0.024
Jaylen Brown,74,73,0.444,1.38,4.39,0.314,0.358,-0.044,2018-19,74,72,0.331,2.04,3.27,0.624,0.603,0.021,74,72,0.389,2.34,3.85,0.607,0.562,0.045
Rajon Rondo,46,44,0.4,1.46,4.39,0.332,0.351,-0.019,2018-19,46,43,0.388,2.89,4.26,0.679,0.611,0.068,46,44,0.451,3.26,4.96,0.658,0.571,0.087
Russell Westbrook,72,69,0.41,1.74,4.38,0.397,0.356,0.041,2018-19,72,71,0.341,2.1,3.64,0.576,0.606,-0.029,72,72,0.415,2.46,4.43,0.555,0.568,-0.014
Derrick Rose,51,51,0.4,1.61,4.37,0.368,0.359,0.008,2018-19,51,48,0.325,2.1,3.55,0.591,0.593,-0.002,51,49,0.425,2.57,4.65,0.553,0.55,0.003
Omari Spellman,44,43,0.485,1.27,4.36,0.292,0.35,-0.059,2018-19,44,37,0.263,1.16,2.36,0.49,0.61,-0.12,44,40,0.333,1.41,3.0,0.47,0.565,-0.095
Marvin Bagley III,62,62,0.408,1.5,4.34,0.346,0.349,-0.003,2018-19,62,58,0.398,2.68,4.24,0.631,0.627,0.004,62,59,0.456,2.92,4.85,0.601,0.581,0.02
Luka Doncic,72,70,0.363,1.5,4.33,0.346,0.358,-0.012,2018-19,72,71,0.407,3.01,4.86,0.62,0.608,0.012,72,71,0.464,3.29,5.54,0.594,0.567,0.027
Buddy Hield,82,79,0.345,1.56,4.33,0.361,0.358,0.003,2018-19,82,81,0.42,3.23,5.27,0.613,0.603,0.011,82,82,0.483,3.51,6.06,0.579,0.565,0.015
Kyle Lowry,65,65,0.349,1.42,4.32,0.327,0.354,-0.026,2018-19,65,64,0.378,2.66,4.69,0.567,0.606,-0.038,65,64,0.465,3.0,5.77,0.52,0.563,-0.043
Lonzo Ball,47,47,0.346,1.51,4.32,0.35,0.354,-0.004,2018-19,47,45,0.388,3.0,4.85,0.618,0.593,0.025,47,46,0.465,3.34,5.81,0.575,0.551,0.024
Nemanja Bjelica,77,71,0.371,1.34,4.31,0.31,0.351,-0.04,2018-19,77,77,0.39,2.66,4.53,0.587,0.616,-0.029,77,77,0.479,3.1,5.56,0.558,0.574,-0.016
Marvin Williams,74,71,0.378,1.69,4.3,0.393,0.352,0.041,2018-19,74,72,0.382,2.5,4.35,0.575,0.617,-0.043,74,74,0.468,2.92,5.32,0.548,0.576,-0.028
Karl-Anthony Towns,77,76,0.243,1.66,4.26,0.39,0.353,0.038,2018-19,77,77,0.413,4.16,7.25,0.573,0.623,-0.049,77,77,0.533,5.01,9.35,0.536,0.579,-0.043
Trae Young,81,81,0.364,1.44,4.26,0.339,0.356,-0.017,2018-19,81,79,0.375,2.91,4.38,0.665,0.596,0.069,81,79,0.457,3.31,5.35,0.619,0.554,0.065
Terrence Ross,79,76,0.451,1.38,4.24,0.325,0.353,-0.028,2018-19,79,74,0.341,2.05,3.2,0.64,0.596,0.044,79,78,0.415,2.33,3.9,0.597,0.555,0.043
Justise Winslow,66,63,0.365,1.48,4.23,0.351,0.362,-0.011,2018-19,66,65,0.358,2.26,4.15,0.544,0.603,-0.059,66,65,0.456,2.7,5.29,0.51,0.559,-0.049
Andre Drummond,79,77,0.234,1.39,4.22,0.33,0.359,-0.028,2018-19,79,79,0.436,4.57,7.87,0.58,0.625,-0.044,79,79,0.528,5.34,9.52,0.561,0.584,-0.023
Willie Cauley-Stein,81,80,0.299,1.52,4.2,0.362,0.357,0.005,2018-19,81,80,0.373,3.37,5.23,0.644,0.626,0.018,81,81,0.506,4.05,7.11,0.569,0.586,-0.017
Jemerrio Jones,5,5,0.344,1.0,4.2,0.238,0.376,-0.138,2018-19,5,5,0.525,3.6,6.4,0.563,0.594,-0.031,5,5,0.574,3.8,7.0,0.543,0.554,-0.011
Jeff Teague,42,40,0.412,1.57,4.17,0.377,0.359,0.019,2018-19,42,41,0.341,2.45,3.45,0.71,0.61,0.1,42,42,0.412,2.71,4.17,0.651,0.567,0.085
Jimmy Butler,63,61,0.341,1.44,4.17,0.346,0.363,-0.017,2018-19,63,63,0.397,2.94,4.86,0.605,0.605,0.0,63,63,0.482,3.32,5.9,0.562,0.565,-0.003
Dion Waiters,44,42,0.46,1.52,4.16,0.366,0.36,0.006,2018-19,44,39,0.302,1.64,2.73,0.6,0.601,-0.001,44,41,0.369,1.84,3.34,0.551,0.561,-0.01
Patrick Beverley,78,77,0.375,1.38,4.13,0.335,0.355,-0.019,2018-19,78,74,0.371,2.4,4.09,0.586,0.602,-0.016,78,75,0.446,2.77,4.91,0.564,0.56,0.004
Harrison Barnes,77,74,0.395,1.44,4.12,0.35,0.355,-0.005,2018-19,77,76,0.347,2.38,3.62,0.656,0.625,0.031,77,76,0.42,2.65,4.38,0.605,0.583,0.023
Jerami Grant,79,79,0.331,1.56,4.1,0.38,0.358,0.022,2018-19,79,78,0.4,2.84,4.96,0.571,0.617,-0.046,79,79,0.474,3.22,5.89,0.546,0.576,-0.03
Devin Booker,64,62,0.37,1.47,4.08,0.36,0.36,0.0,2018-19,64,62,0.407,2.81,4.48,0.627,0.607,0.02,64,62,0.472,3.11,5.2,0.598,0.564,0.033
Nikola Jokic,80,80,0.229,1.49,4.08,0.365,0.356,0.009,2018-19,80,80,0.45,4.56,8.0,0.57,0.63,-0.059,80,80,0.549,5.3,9.76,0.543,0.59,-0.047
Damian Lillard,80,80,0.357,1.65,4.05,0.407,0.355,0.053,2018-19,80,78,0.334,2.25,3.79,0.594,0.594,0.0,80,78,0.423,2.7,4.8,0.563,0.552,0.01
Bogdan Bogdanovic,70,67,0.394,1.41,4.03,0.351,0.354,-0.002,2018-19,70,70,0.366,2.51,3.74,0.672,0.601,0.071,70,70,0.453,2.77,4.63,0.599,0.557,0.041
Dewayne Dedmon,64,63,0.294,1.36,4.02,0.339,0.356,-0.017,2018-19,64,63,0.383,2.98,5.23,0.57,0.612,-0.042,64,64,0.474,3.61,6.47,0.558,0.575,-0.017
D'Angelo Russell,81,79,0.367,1.36,4.02,0.337,0.352,-0.014,2018-19,81,81,0.33,2.35,3.62,0.648,0.607,0.042,81,81,0.41,2.72,4.49,0.604,0.565,0.04
Aaron Gordon,76,76,0.337,1.49,4.01,0.37,0.357,0.013,2018-19,76,75,0.379,2.63,4.51,0.583,0.609,-0.026,76,76,0.49,3.17,5.84,0.543,0.563,-0.02
Al Horford,68,66,0.243,1.29,4.01,0.322,0.353,-0.031,2018-19,68,68,0.427,3.9,7.06,0.552,0.611,-0.059,68,68,0.533,4.66,8.79,0.53,0.572,-0.042
Eric Bledsoe,78,75,0.379,1.38,4.0,0.346,0.359,-0.012,2018-19,78,71,0.294,1.81,3.1,0.583,0.582,0.001,78,72,0.39,2.23,4.12,0.542,0.541,0.001
Pat Connaughton,60,59,0.438,1.55,3.98,0.389,0.352,0.037,2018-19,60,53,0.255,1.32,2.32,0.568,0.598,-0.03,60,55,0.333,1.6,3.03,0.527,0.551,-0.024
Nikola Mirotic,46,44,0.306,1.43,3.98,0.361,0.351,0.01,2018-19,46,45,0.421,3.04,5.48,0.556,0.611,-0.055,46,46,0.523,3.61,6.8,0.53,0.57,-0.039
Tyler Johnson,56,55,0.418,1.46,3.98,0.368,0.362,0.006,2018-19,56,52,0.331,2.0,3.16,0.633,0.601,0.032,56,54,0.404,2.29,3.86,0.593,0.554,0.039
Emmanuel Mudiay,58,58,0.4,1.33,3.95,0.336,0.36,-0.023,2018-19,58,53,0.36,2.31,3.55,0.65,0.607,0.044,58,57,0.428,2.53,4.22,0.6,0.566,0.034
Alex Caruso,24,18,0.409,1.13,3.92,0.287,0.365,-0.078,2018-19,24,21,0.317,1.88,3.04,0.616,0.595,0.021,24,22,0.404,2.29,3.88,0.591,0.55,0.041
Kevin Knox II,74,71,0.432,1.49,3.91,0.381,0.365,0.016,2018-19,74,69,0.362,2.12,3.27,0.649,0.603,0.046,74,69,0.433,2.38,3.92,0.607,0.566,0.041
Kyrie Irving,67,67,0.367,1.63,3.91,0.416,0.358,0.058,2018-19,67,64,0.367,2.43,3.91,0.622,0.602,0.02,67,65,0.445,2.75,4.73,0.58,0.563,0.017
Stephen Curry,69,69,0.373,1.26,3.91,0.322,0.36,-0.038,2018-19,69,65,0.313,2.23,3.28,0.681,0.593,0.088,69,69,0.425,2.68,4.45,0.603,0.549,0.053
Al-Farouq Aminu,81,78,0.352,1.46,3.89,0.375,0.356,0.019,2018-19,81,79,0.383,2.47,4.23,0.583,0.614,-0.031,81,80,0.457,2.79,5.05,0.553,0.577,-0.024
Mitchell Robinson,65,59,0.331,1.29,3.88,0.333,0.355,-0.022,2018-19,65,64,0.388,2.55,4.54,0.563,0.617,-0.054,65,64,0.47,2.83,5.51,0.514,0.577,-0.063
Montrezl Harrell,82,79,0.251,1.13,3.88,0.292,0.349,-0.057,2018-19,82,80,0.372,3.3,5.74,0.575,0.614,-0.038,82,82,0.5,4.11,7.72,0.532,0.574,-0.042
Rudy Gobert,79,75,0.183,1.3,3.86,0.338,0.347,-0.009,2018-19,79,79,0.412,4.54,8.67,0.524,0.618,-0.094,79,79,0.51,5.44,10.73,0.507,0.581,-0.074
Bojan Bogdanovic,81,79,0.378,1.35,3.86,0.348,0.355,-0.006,2018-19,81,77,0.36,2.2,3.68,0.597,0.611,-0.014,81,79,0.45,2.53,4.59,0.551,0.565,-0.014
James Johnson,54,53,0.457,1.46,3.85,0.38,0.358,0.021,2018-19,54,51,0.275,1.31,2.31,0.568,0.62,-0.052,54,52,0.385,1.59,3.24,0.491,0.576,-0.084
Khris Middleton,77,77,0.402,1.45,3.84,0.378,0.355,0.024,2018-19,77,71,0.304,1.81,2.91,0.621,0.607,0.013,77,72,0.41,2.14,3.92,0.546,0.561,-0.015
Dwyane Wade,72,71,0.45,1.38,3.83,0.359,0.353,0.006,2018-19,72,65,0.338,1.69,2.88,0.589,0.606,-0.016,72,68,0.401,1.93,3.42,0.565,0.56,0.005
Walt Lemon Jr.,6,6,0.365,1.5,3.83,0.391,0.349,0.042,2018-19,6,6,0.349,2.5,3.67,0.682,0.608,0.074,6,6,0.381,2.83,4.0,0.708,0.57,0.138
Kelly Olynyk,79,74,0.375,1.38,3.81,0.362,0.347,0.015,2018-19,79,75,0.369,2.15,3.75,0.574,0.609,-0.035,79,77,0.45,2.47,4.57,0.54,0.569,-0.029
Chris Paul,57,57,0.347,1.25,3.81,0.327,0.353,-0.026,2018-19,57,57,0.432,3.05,4.74,0.644,0.607,0.037,57,57,0.502,3.32,5.51,0.602,0.566,0.036
Bonzie Colson,5,2,0.5,1.4,3.8,0.368,0.318,0.05,2018-19,5,5,0.474,2.4,3.6,0.667,0.583,0.084,5,5,0.474,2.4,3.6,0.667,0.555,0.111
DeMar DeRozan,77,75,0.377,1.22,3.79,0.322,0.36,-0.038,2018-19,77,74,0.339,2.19,3.42,0.643,0.607,0.035,77,76,0.408,2.51,4.1,0.611,0.563,0.047
Joe Harris,76,75,0.364,1.33,3.79,0.351,0.356,-0.006,2018-19,76,74,0.362,2.28,3.76,0.605,0.607,-0.002,76,74,0.435,2.59,4.53,0.573,0.565,0.007
LaMarcus Aldridge,81,78,0.216,1.41,3.77,0.374,0.351,0.023,2018-19,81,79,0.346,3.28,6.04,0.544,0.618,-0.074,81,81,0.466,4.01,8.14,0.493,0.577,-0.084
D.J. Wilson,47,42,0.356,1.32,3.77,0.35,0.343,0.007,2018-19,47,44,0.378,2.06,4.0,0.516,0.604,-0.088,47,45,0.459,2.32,4.85,0.478,0.567,-0.089
Mikal Bridges,81,80,0.343,1.62,3.74,0.432,0.358,0.074,2018-19,81,80,0.436,2.88,4.75,0.605,0.608,-0.002,81,80,0.514,3.17,5.6,0.566,0.567,-0.001
Dario Saric,80,77,0.363,1.45,3.74,0.388,0.356,0.032,2018-19,80,77,0.388,2.26,4.0,0.566,0.616,-0.05,80,80,0.479,2.56,4.94,0.519,0.572,-0.053
Josh Hart,67,60,0.332,1.22,3.72,0.329,0.357,-0.028,2018-19,67,64,0.392,2.49,4.39,0.568,0.6,-0.032,67,66,0.479,2.85,5.36,0.532,0.557,-0.025
Wesley Matthews,69,65,0.373,1.39,3.71,0.375,0.354,0.021,2018-19,69,66,0.307,1.96,3.06,0.64,0.609,0.031,69,68,0.413,2.46,4.12,0.599,0.571,0.028
Otto Porter Jr.,55,52,0.354,1.38,3.71,0.373,0.362,0.011,2018-19,55,55,0.451,2.85,4.73,0.604,0.603,0.001,55,55,0.519,3.15,5.44,0.579,0.562,0.017
CJ McCollum,70,69,0.303,1.34,3.7,0.363,0.359,0.003,2018-19,70,69,0.327,2.4,4.0,0.6,0.599,0.001,70,69,0.422,2.94,5.16,0.571,0.556,0.015
Kelly Oubre Jr.,69,68,0.363,1.2,3.7,0.325,0.358,-0.033,2018-19,69,66,0.429,2.7,4.36,0.618,0.607,0.011,69,66,0.49,2.97,4.99,0.596,0.568,0.028
Nicolas Batum,74,72,0.358,1.22,3.69,0.33,0.355,-0.026,2018-19,74,72,0.419,2.47,4.31,0.574,0.612,-0.038,74,73,0.495,2.72,5.09,0.533,0.57,-0.037
Taj Gibson,70,67,0.364,1.43,3.67,0.389,0.351,0.038,2018-19,70,69,0.406,2.67,4.1,0.652,0.625,0.027,70,70,0.474,2.96,4.79,0.618,0.583,0.034
Darren Collison,76,74,0.418,1.38,3.67,0.376,0.361,0.015,2018-19,76,69,0.348,1.88,3.05,0.616,0.594,0.022,76,70,0.414,2.08,3.63,0.572,0.555,0.017
Kyle Kuzma,70,67,0.32,1.33,3.66,0.363,0.36,0.003,2018-19,70,70,0.4,2.56,4.57,0.559,0.607,-0.047,70,70,0.501,2.94,5.73,0.514,0.565,-0.052
Kevin Huerter,74,72,0.369,1.28,3.65,0.352,0.358,-0.006,2018-19,74,68,0.376,2.51,3.72,0.676,0.605,0.072,74,73,0.455,2.89,4.5,0.643,0.558,0.085
Cody Zeller,48,45,0.239,1.08,3.65,0.297,0.355,-0.058,2018-19,48,47,0.432,3.77,6.58,0.573,0.611,-0.038,48,47,0.518,4.25,7.9,0.538,0.573,-0.035
Dennis Schroder,78,76,0.315,1.24,3.65,0.34,0.356,-0.015,2018-19,78,76,0.398,2.78,4.63,0.601,0.595,0.006,78,78,0.483,3.22,5.62,0.573,0.555,0.018
Evan Fournier,79,76,0.32,1.25,3.65,0.344,0.359,-0.015,2018-19,79,76,0.361,2.42,4.11,0.588,0.591,-0.003,79,77,0.453,2.94,5.16,0.569,0.552,0.016
Marcus Morris Sr.,75,72,0.371,1.44,3.65,0.394,0.356,0.038,2018-19,75,73,0.349,2.09,3.44,0.609,0.616,-0.008,75,75,0.449,2.51,4.43,0.566,0.572,-0.006
Klay Thompson,78,74,0.33,1.31,3.65,0.358,0.357,0.0,2018-19,78,77,0.353,2.24,3.91,0.574,0.594,-0.02,78,78,0.469,2.6,5.19,0.501,0.553,-0.052
Dorian Finney-Smith,80,75,0.362,1.18,3.64,0.323,0.355,-0.031,2018-19,80,78,0.354,2.04,3.56,0.572,0.608,-0.036,80,79,0.44,2.38,4.43,0.537,0.566,-0.03
Bruno Caboclo,33,32,0.368,1.36,3.61,0.378,0.356,0.022,2018-19,33,30,0.433,2.24,4.24,0.529,0.6,-0.072,33,30,0.471,2.39,4.61,0.52,0.565,-0.045
Lauri Markkanen,51,49,0.294,1.2,3.61,0.332,0.356,-0.024,2018-19,51,51,0.482,3.65,5.9,0.618,0.606,0.012,51,51,0.57,4.06,6.98,0.581,0.564,0.018
Garrett Temple,75,69,0.363,1.24,3.6,0.344,0.358,-0.013,2018-19,75,73,0.379,2.21,3.76,0.589,0.596,-0.008,75,74,0.457,2.49,4.53,0.55,0.555,-0.005
Josh Jackson,79,77,0.359,1.41,3.59,0.391,0.359,0.032,2018-19,79,77,0.419,2.3,4.2,0.548,0.602,-0.053,79,77,0.497,2.65,4.99,0.53,0.562,-0.032
